FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 17:00:51,14/01/2026 17:20:50,0:19:59,0:00:10,330,121,219,Save 1
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 17:01:02,0.4076 A DC,0.3383 A DC,0.2022 A DC,14/01/2026 17:00:53,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
39,0.3359 A DC,14/01/2026 17:02:27.0,0:00:02.3,14/01/2026 17:02:29.2,0.3436 A DC,0.3374 A DC,14/01/2026 17:02:27.2,0.3332 A DC,Stable,14/01/2026 17:02:29.3
40,0.3595 A DC,14/01/2026 17:02:29.3,0:00:00.2,14/01/2026 17:02:29.3,0.3595 A DC,0.3511 A DC,14/01/2026 17:02:29.4,0.3427 A DC,Unstable,14/01/2026 17:02:29.5
41,0.3316 A DC,14/01/2026 17:02:29.5,0:00:00.9,14/01/2026 17:02:30.3,0.3495 A DC,0.3414 A DC,14/01/2026 17:02:29.5,0.3316 A DC,Interval,14/01/2026 17:02:30.4
42,0.3372 A DC,14/01/2026 17:02:30.4,0:00:04.8,14/01/2026 17:02:33.3,0.3486 A DC,0.3382 A DC,14/01/2026 17:02:30.6,0.3308 A DC,Stable,14/01/2026 17:02:35.2
43,0.3617 A DC,14/01/2026 17:02:35.2,0:00:00.2,14/01/2026 17:02:35.2,0.3617 A DC,0.3536 A DC,14/01/2026 17:02:35.3,0.3455 A DC,Unstable,14/01/2026 17:02:35.4
44,0.3321 A DC,14/01/2026 17:02:35.4,0:00:05.0,14/01/2026 17:02:38.9,0.3436 A DC,0.3366 A DC,14/01/2026 17:02:35.7,0.3307 A DC,Interval,14/01/2026 17:02:40.5
45,0.3329 A DC,14/01/2026 17:02:40.5,0:00:07.9,14/01/2026 17:02:43.3,0.3475 A DC,0.3368 A DC,14/01/2026 17:02:42.7,0.3284 A DC,Stable,14/01/2026 17:02:48.4
46,0.3564 A DC,14/01/2026 17:02:48.4,0:00:00.1,14/01/2026 17:02:48.4,0.3564 A DC,0.3564 A DC,14/01/2026 17:02:48.4,0.3564 A DC,Unstable,14/01/2026 17:02:48.5
47,0.3333 A DC,14/01/2026 17:02:48.5,0:00:01.9,14/01/2026 17:02:50.2,0.3397 A DC,0.3345 A DC,14/01/2026 17:02:48.9,0.3307 A DC,Interval,14/01/2026 17:02:50.4
48,0.3560 A DC,14/01/2026 17:02:50.4,0:00:02.3,14/01/2026 17:02:50.4,0.3560 A DC,0.3400 A DC,14/01/2026 17:02:51.1,0.3341 A DC,Stable,14/01/2026 17:02:52.7
49,0.3309 A DC,14/01/2026 17:02:52.7,0:00:01.4,14/01/2026 17:02:53.2,0.3423 A DC,0.3363 A DC,14/01/2026 17:02:52.8,0.3287 A DC,Stable,14/01/2026 17:02:54.1
50,0.3542 A DC,14/01/2026 17:02:54.1,0:00:00.6,14/01/2026 17:02:54.1,0.3542 A DC,0.3414 A DC,14/01/2026 17:02:54.7,0.3337 A DC,Unstable,14/01/2026 17:02:54.8
51,0.3318 A DC,14/01/2026 17:02:54.8,0:00:02.5,14/01/2026 17:02:56.3,0.3472 A DC,0.3368 A DC,14/01/2026 17:02:54.8,0.3318 A DC,Stable,14/01/2026 17:02:57.3
52,0.3503 A DC,14/01/2026 17:02:57.3,0:00:03.2,14/01/2026 17:02:57.3,0.3503 A DC,0.3369 A DC,14/01/2026 17:02:59.0,0.3316 A DC,Interval,14/01/2026 17:03:00.5
53,0.3402 A DC,14/01/2026 17:03:00.5,0:00:07.9,14/01/2026 17:03:08.2,0.3520 A DC,0.3399 A DC,14/01/2026 17:03:03.0,0.3313 A DC,Stable,14/01/2026 17:03:08.4
54,0.3644 A DC,14/01/2026 17:03:08.4,0:00:01.1,14/01/2026 17:03:08.4,0.3644 A DC,0.3468 A DC,14/01/2026 17:03:09.4,0.3385 A DC,Stable,14/01/2026 17:03:09.5
55,0.3360 A DC,14/01/2026 17:03:09.5,0:00:00.9,14/01/2026 17:03:10.2,0.3424 A DC,0.3367 A DC,14/01/2026 17:03:09.9,0.3352 A DC,Interval,14/01/2026 17:03:10.5
56,0.3381 A DC,14/01/2026 17:03:10.5,0:00:06.8,14/01/2026 17:03:14.3,0.3522 A DC,0.3376 A DC,14/01/2026 17:03:16.9,0.3314 A DC,Stable,14/01/2026 17:03:17.3
57,0.3576 A DC,14/01/2026 17:03:17.3,0:00:00.1,14/01/2026 17:03:17.3,0.3576 A DC,0.3576 A DC,14/01/2026 17:03:17.3,0.3576 A DC,Unstable,14/01/2026 17:03:17.4
58,0.3340 A DC,14/01/2026 17:03:17.4,0:00:03.0,14/01/2026 17:03:17.8,0.3492 A DC,0.3393 A DC,14/01/2026 17:03:17.4,0.3340 A DC,Interval,14/01/2026 17:03:20.4
59,0.3409 A DC,14/01/2026 17:03:20.4,0:00:06.4,14/01/2026 17:03:24.2,0.3497 A DC,0.3386 A DC,14/01/2026 17:03:22.1,0.3313 A DC,Stable,14/01/2026 17:03:26.8
60,0.3756 A DC,14/01/2026 17:03:26.8,0:00:00.1,14/01/2026 17:03:26.8,0.3756 A DC,0.3756 A DC,14/01/2026 17:03:26.8,0.3756 A DC,Unstable,14/01/2026 17:03:26.9
61,0.3362 A DC,14/01/2026 17:03:26.9,0:00:02.3,14/01/2026 17:03:27.3,0.3437 A DC,0.3362 A DC,14/01/2026 17:03:27.9,0.3296 A DC,Stable,14/01/2026 17:03:29.3
62,0.3657 A DC,14/01/2026 17:03:29.3,0:00:00.1,14/01/2026 17:03:29.3,0.3657 A DC,0.3657 A DC,14/01/2026 17:03:29.3,0.3657 A DC,Unstable,14/01/2026 17:03:29.4
63,0.3360 A DC,14/01/2026 17:03:29.4,0:00:01.1,14/01/2026 17:03:29.6,0.3552 A DC,0.3412 A DC,14/01/2026 17:03:30.2,0.3343 A DC,Interval,14/01/2026 17:03:30.5
64,0.3370 A DC,14/01/2026 17:03:30.5,0:00:10.0,14/01/2026 17:03:38.7,0.3484 A DC,0.3376 A DC,14/01/2026 17:03:39.1,0.3295 A DC,Interval,14/01/2026 17:03:40.4
65,0.3333 A DC,14/01/2026 17:03:40.4,0:00:05.7,14/01/2026 17:03:43.2,0.3499 A DC,0.3369 A DC,14/01/2026 17:03:45.8,0.3317 A DC,Stable,14/01/2026 17:03:46.2
