FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 14:30:01,14/01/2026 14:50:01,0:20:00,0:00:10,381,121,275,Save 4
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 14:30:04,1.6253 A DC,0.1896 A DC,0.1746 A DC,14/01/2026 14:48:15,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
59,0.6625 A DC,14/01/2026 14:33:14.4,0:00:00.2,14/01/2026 14:33:14.4,0.6625 A DC,0.4623 A DC,14/01/2026 14:33:14.5,0.2621 A DC,Unstable,14/01/2026 14:33:14.6
60,0.1885 A DC,14/01/2026 14:33:14.6,0:00:05.9,14/01/2026 14:33:18.5,0.1955 A DC,0.1877 A DC,14/01/2026 14:33:17.6,0.1834 A DC,Interval,14/01/2026 14:33:20.6
61,0.1872 A DC,14/01/2026 14:33:20.6,0:00:04.0,14/01/2026 14:33:24.4,0.2061 A DC,0.1892 A DC,14/01/2026 14:33:21.9,0.1848 A DC,Stable,14/01/2026 14:33:24.6
62,0.7144 A DC,14/01/2026 14:33:24.6,0:00:00.2,14/01/2026 14:33:24.6,0.7144 A DC,0.4633 A DC,14/01/2026 14:33:24.7,0.2122 A DC,Unstable,14/01/2026 14:33:24.8
63,0.1868 A DC,14/01/2026 14:33:24.8,0:00:05.7,14/01/2026 14:33:29.9,0.2018 A DC,0.1881 A DC,14/01/2026 14:33:26.4,0.1842 A DC,Interval,14/01/2026 14:33:30.5
64,0.1876 A DC,14/01/2026 14:33:30.5,0:00:10.1,14/01/2026 14:33:30.9,0.1964 A DC,0.1879 A DC,14/01/2026 14:33:30.8,0.1825 A DC,Interval,14/01/2026 14:33:40.6
65,0.1882 A DC,14/01/2026 14:33:40.6,0:00:04.2,14/01/2026 14:33:43.3,0.1901 A DC,0.1869 A DC,14/01/2026 14:33:42.2,0.1826 A DC,Stable,14/01/2026 14:33:44.8
66,0.6249 A DC,14/01/2026 14:33:44.8,0:00:00.2,14/01/2026 14:33:44.8,0.6249 A DC,0.4163 A DC,14/01/2026 14:33:44.9,0.2077 A DC,Unstable,14/01/2026 14:33:45.0
67,0.1882 A DC,14/01/2026 14:33:45.0,0:00:05.5,14/01/2026 14:33:46.3,0.1909 A DC,0.1874 A DC,14/01/2026 14:33:45.2,0.1831 A DC,Interval,14/01/2026 14:33:50.6
68,0.1876 A DC,14/01/2026 14:33:50.6,0:00:10.0,14/01/2026 14:33:54.7,0.1981 A DC,0.1881 A DC,14/01/2026 14:33:51.0,0.1841 A DC,Interval,14/01/2026 14:34:00.5
