Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time;Max;;Tiempo (s);Is(A);Ps (W);Wh;<Is> (A);;;;;;;;;;
40;0.2066 A DC;32:13.6;00:00.1;32:13.6;0.2066 A DC;0.2066 A DC;32:13.6;0.2066 A DC;Stable;32:13.7;;;132.3999998;0.2066;2.56184;0.002206029;0.1896;;;;;;;;;;
41;0.1884 A DC;32:13.7;00:05.0;32:18.5;0.1958 A DC;0.1875 A DC;32:16.0;0.1838 A DC;Stable;32:18.7;;;132.4999999;0.1875;2.325;6.45834E-05;0.1896;;;;;;;;;;
42;0.2365 A DC;32:18.7;00:00.2;32:18.8;0.5797 A DC;0.4081 A DC;32:18.7;0.2365 A DC;Stable;32:18.9;;;137.4999998;0.4081;5.06044;0.007028389;0.1896;;;;;;;;;;
43;0.2013 A DC;32:18.9;00:01.7;32:18.9;0.2013 A DC;0.1890 A DC;32:20.2;0.1831 A DC;Interval;32:20.6;;;137.6999999;0.189;2.3436;0.0001302;0.1896;;;;;;;;;;
44;0.1875 A DC;32:20.6;00:08.2;32:24.4;0.2023 A DC;0.1881 A DC;32:21.4;0.1822 A DC;Stable;32:28.9;;;139.3999995;0.1881;2.33244;0.00110143;0.1896;;;;;;;;;;
45;0.5536 A DC;32:28.9;00:00.2;32:28.9;0.5536 A DC;0.4247 A DC;32:29.0;0.2958 A DC;Stable;32:29.1;;;147.6999998;0.4247;5.26628;0.012141701;0.1896;;;;;;;;;;
46;0.1898 A DC;32:29.1;00:01.5;32:30.0;0.1903 A DC;0.1874 A DC;32:30.2;0.1847 A DC;Interval;32:30.6;;;147.8999999;0.1874;2.32376;0.000129098;0.1896;;;;;;;;;;
47;0.1856 A DC;32:30.6;00:03.4;32:33.7;0.1893 A DC;0.1867 A DC;32:31.2;0.1846 A DC;Stable;32:34.0;;;149.4;0.1867;2.31508;0.000964617;0.1896;;;;;;;;;;
48;0.2052 A DC;32:34.0;00:05.0;32:34.0;0.2052 A DC;0.1884 A DC;32:34.5;0.1852 A DC;Stable;32:39.0;;;152.7999998;0.1884;2.33616;0.002206373;0.1896;;;;;;;;;;
49;0.7049 A DC;32:39.0;00:00.2;32:39.0;0.7049 A DC;0.4580 A DC;32:39.1;0.2110 A DC;Stable;32:39.2;;;157.7999997;0.458;5.6792;0.007887778;0.1896;;;;;;;;;;
50;0.1869 A DC;32:39.2;00:01.3;32:39.8;0.1949 A DC;0.1871 A DC;32:40.1;0.1816 A DC;Interval;32:40.5;;;157.9999998;0.1871;2.32004;0.000128891;0.1896;;;;;;;;;;
51;0.1875 A DC;32:40.5;00:10.1;32:49.9;0.1901 A DC;0.1856 A DC;32:44.1;0.1818 A DC;Interval;32:50.6;;;159.2999997;0.1856;2.30144;0.000831075;0.1896;;;;;;;;;;
52;0.1868 A DC;32:50.6;00:03.5;32:51.1;0.1925 A DC;0.1878 A DC;32:52.4;0.1845 A DC;Stable;32:54.1;;;169.3999996;0.1878;2.32872;0.006533353;0.1896;;;;;;;;;;
53;0.2073 A DC;32:54.1;00:00.2;32:54.2;0.4381 A DC;0.3227 A DC;32:54.1;0.2073 A DC;Stable;32:54.3;;;172.8999995;0.3227;4.00148;0.003890328;0.1896;;;;;;;;;;
54;0.1960 A DC;32:54.3;00:06.2;32:54.3;0.1960 A DC;0.1875 A DC;32:59.2;0.1820 A DC;Interval;33:00.6;;;173.0999997;0.1875;2.325;0.000129167;0.1896;;;;;;;;;;
55;0.1939 A DC;33:00.6;00:03.7;33:00.6;0.1939 A DC;0.1881 A DC;33:02.1;0.1867 A DC;Stable;33:04.3;;;179.4000001;0.1881;2.33244;0.00408177;0.1896;;;;;;;;;;
56;0.6192 A DC;33:04.3;00:00.2;33:04.3;0.6192 A DC;0.5239 A DC;33:04.4;0.4286 A DC;Stable;33:04.5;;;183.1000001;0.5239;6.49636;0.006676815;0.1896;;;;;;;;;;
57;0.1953 A DC;33:04.5;00:06.0;33:05.5;0.1983 A DC;0.1884 A DC;33:07.8;0.1864 A DC;Interval;33:10.5;;;183.2999997;0.1884;2.33616;0.000129786;0.1896;;;;;;;;;;
58;0.1875 A DC;33:10.5;00:03.9;33:10.8;0.1897 A DC;0.1868 A DC;33:11.9;0.1835 A DC;Stable;33:14.4;;;189.2999998;0.1868;2.31632;0.003860533;0.1896;;;;;;;;;;
59;0.6625 A DC;33:14.4;00:00.2;33:14.4;0.6625 A DC;0.4623 A DC;33:14.5;0.2621 A DC;Stable;33:14.6;;;193.2;0.4623;5.73252;0.00621023;0.1896;;;;;;;;;;
60;0.1885 A DC;33:14.6;00:05.9;33:18.5;0.1955 A DC;0.1877 A DC;33:17.6;0.1834 A DC;Interval;33:20.6;;;193.3999996;0.1877;2.32748;0.000129304;0.1896;;;;;;;;;;
61;0.1872 A DC;33:20.6;00:04.0;33:24.4;0.2061 A DC;0.1892 A DC;33:21.9;0.1848 A DC;Stable;33:24.6;;;199.3999997;0.1892;2.34608;0.003910133;0.1896;;;;;;;;;;
62;0.7144 A DC;33:24.6;00:00.2;33:24.6;0.7144 A DC;0.4633 A DC;33:24.7;0.2122 A DC;Stable;33:24.8;;;203.4;0.4633;5.74492;0.006383245;0.1896;;;;;;;;;;
63;0.1868 A DC;33:24.8;00:05.7;33:29.9;0.2018 A DC;0.1881 A DC;33:26.4;0.1842 A DC;Interval;33:30.5;;;203.5999996;0.1881;2.33244;0.00012958;0.1896;;;;;;;;;;
64;0.1876 A DC;33:30.5;00:10.1;33:30.9;0.1964 A DC;0.1879 A DC;33:30.8;0.1825 A DC;Interval;33:40.6;;;209.3000001;0.1879;2.32996;0.003689104;0.1896;;;;;;;;;;
65;0.1882 A DC;33:40.6;00:04.2;33:43.3;0.1901 A DC;0.1869 A DC;33:42.2;0.1826 A DC;Stable;33:44.8;;;219.4;0.1869;2.31756;0.006502043;0.1896;;;;;;;;;;
66;0.6249 A DC;33:44.8;00:00.2;33:44.8;0.6249 A DC;0.4163 A DC;33:44.9;0.2077 A DC;Stable;33:45.0;;;223.5999998;0.4163;5.16212;0.006022473;0.1896;;;;;;;;;;
67;0.1882 A DC;33:45.0;00:05.5;33:46.3;0.1909 A DC;0.1874 A DC;33:45.2;0.1831 A DC;Interval;33:50.6;;;223.8;0.1874;2.32376;0.000129098;0.1896;;;;;;;;;;
68;0.1876 A DC;33:50.6;00:10.0;33:54.7;0.1981 A DC;0.1881 A DC;33:51.0;0.1841 A DC;Interval;34:00.5;;;229.3999998;0.1881;2.33244;0.00362824;0.1896;;;;;;;;;;
69;0.1868 A DC;34:00.5;00:09.6;34:03.1;0.2036 A DC;0.1852 A DC;34:04.1;0.1817 A DC;Stable;34:10.1;;;239.2999995;0.1852;2.29648;0.00631532;0.1896;;;;;;;;;;
70;0.8104 A DC;34:10.1;00:00.2;34:10.1;0.8104 A DC;0.5190 A DC;34:10.2;0.2275 A DC;Stable;34:10.3;;;248.8999997;0.519;6.4356;0.0171616;0.1896;;;;;;;;;;
71;0.1848 A DC;34:10.3;00:00.3;34:10.3;0.1848 A DC;0.1834 A DC;34:10.5;0.1825 A DC;Interval;34:10.6;;;249.0999998;0.1834;2.27416;0.000126342;0.1896;;;;;;;;;;
72;0.1822 A DC;34:10.6;00:04.5;34:14.8;0.1899 A DC;0.1854 A DC;34:11.3;0.1807 A DC;Stable;34:15.1;;;249.4000001;0.1854;2.29896;0.00019158;0.1896;;;;;;;;;;
73;0.2083 A DC;34:15.1;00:00.1;34:15.1;0.2083 A DC;0.2083 A DC;34:15.1;0.2083 A DC;Stable;34:15.2;;;253.8999996;0.2083;2.58292;0.00322865;0.1896;;;;;;;;;;
74;0.1881 A DC;34:15.2;00:04.9;34:18.7;0.1912 A DC;0.1853 A DC;34:17.2;0.1810 A DC;Stable;34:20.1;;;253.9999997;0.1853;2.29772;6.38256E-05;0.1896;;;;;;;;;;
75;0.2071 A DC;34:20.1;00:00.2;34:20.2;0.3409 A DC;0.2740 A DC;34:20.1;0.2071 A DC;Stable;34:20.3;;;258.9000001;0.274;3.3976;0.004624512;0.1896;;;;;;;;;;
76;0.1875 A DC;34:20.3;00:00.2;34:20.3;0.1875 A DC;0.1854 A DC;34:20.4;0.1833 A DC;Interval;34:20.5;;;259.0999997;0.1854;2.29896;0.00012772;0.1896;;;;;;;;;;
77;0.1835 A DC;34:20.5;00:09.8;34:30.2;0.1960 A DC;0.1848 A DC;34:29.4;0.1811 A DC;Stable;34:30.3;;;259.2999998;0.1848;2.29152;0.000127307;0.1896;;;;;;;;;;
78;0.7076 A DC;34:30.3;00:00.2;34:30.3;0.7076 A DC;0.4622 A DC;34:30.4;0.2168 A DC;Stable;34:30.5;;;269.1000001;0.4622;5.73128;0.015601818;0.1896;;;;;;;;;;
79;0.1809 A DC;34:30.5;00:00.1;34:30.5;0.1809 A DC;0.1809 A DC;34:30.5;0.1809 A DC;Interval;34:30.6;;;269.2999996;0.1809;2.24316;0.00012462;0.1896;;;;;;;;;;
80;0.1843 A DC;34:30.6;00:10.0;34:40.5;0.1991 A DC;0.1839 A DC;34:33.0;0.1794 A DC;Interval;34:40.6;;;269.3999997;0.1839;2.28036;6.33434E-05;0.1896;;;;;;;;;;
81;0.1892 A DC;34:40.6;00:04.9;34:40.9;0.1927 A DC;0.1845 A DC;34:41.7;0.1782 A DC;Stable;34:45.5;;;279.3999996;0.1845;2.2878;0.006355;0.1896;;;;;;;;;;
82;0.4926 A DC;34:45.5;00:00.1;34:45.5;0.4926 A DC;0.4926 A DC;34:45.5;0.4926 A DC;Stable;34:45.6;;;284.3;0.4926;6.10824;0.008313994;0.1896;;;;;;;;;;
83;0.1932 A DC;34:45.6;00:04.9;34:45.6;0.1932 A DC;0.1836 A DC;34:46.4;0.1810 A DC;Interval;34:50.5;;;284.4000001;0.1836;2.27664;6.32401E-05;0.1896;;;;;;;;;;
84;0.1818 A DC;34:50.5;00:05.0;34:52.8;0.1891 A DC;0.1852 A DC;34:50.5;0.1818 A DC;Stable;34:55.6;;;289.2999999;0.1852;2.29648;0.003125764;0.1896;;;;;;;;;;
85;0.4462 A DC;34:55.6;00:00.2;34:55.6;0.4462 A DC;0.4117 A DC;34:55.7;0.3771 A DC;Stable;34:55.8;;;294.3999999;0.4117;5.10508;0.007232197;0.1896;;;;;;;;;;
86;0.1897 A DC;34:55.8;00:04.8;34:55.8;0.1897 A DC;0.1848 A DC;34:59.3;0.1796 A DC;Interval;35:00.6;;;294.6000001;0.1848;2.29152;0.000127307;0.1896;;;;;;;;;;
87;0.1831 A DC;35:00.6;00:05.1;35:03.1;0.1927 A DC;0.1836 A DC;35:05.4;0.1800 A DC;Stable;35:05.7;;;299.3999998;0.1836;2.27664;0.00303552;0.1896;;;;;;;;;;
88;0.7538 A DC;35:05.7;00:00.2;35:05.7;0.7538 A DC;0.4911 A DC;35:05.8;0.2284 A DC;Stable;35:05.9;;;304.4999998;0.4911;6.08964;0.00862699;0.1896;;;;;;;;;;
89;0.1811 A DC;35:05.9;00:04.6;35:06.8;0.1908 A DC;0.1844 A DC;35:06.5;0.1795 A DC;Interval;35:10.5;;;304.7;0.1844;2.28656;0.000127031;0.1896;;;;;;;;;;
90;0.1851 A DC;35:10.5;00:05.3;35:10.8;0.2017 A DC;0.1856 A DC;35:11.6;0.1816 A DC;Stable;35:15.9;;;309.2999996;0.1856;2.30144;0.002940729;0.1896;;;;;;;;;;
91;0.5768 A DC;35:15.9;00:00.1;35:15.9;0.5768 A DC;0.5768 A DC;35:15.9;0.5768 A DC;Stable;35:16.0;;;314.6999998;0.5768;7.15232;0.010728481;0.1896;;;;;;;;;;
92;0.1960 A DC;35:16.0;00:04.6;35:17.8;0.1964 A DC;0.1839 A DC;35:16.2;0.1818 A DC;Interval;35:20.6;;;314.7999999;0.1839;2.28036;6.33434E-05;0.1896;;;;;;;;;;
93;0.1817 A DC;35:20.6;00:00.4;35:20.9;0.2422 A DC;0.1992 A DC;35:20.6;0.1817 A DC;Stable;35:21.0;;;319.4000001;0.1992;2.47008;0.003156213;0.1896;;;;;;;;;;
94;0.1879 A DC;35:21.0;00:04.9;35:24.4;0.1989 A DC;0.1858 A DC;35:23.7;0.1814 A DC;Stable;35:25.9;;;319.7999998;0.1858;2.30392;0.000255991;0.1896;;;;;;;;;;
95;0.4363 A DC;35:25.9;00:00.2;35:25.9;0.4363 A DC;0.3511 A DC;35:26.0;0.2659 A DC;Stable;35:26.1;;;324.6999996;0.3511;4.35364;0.005925788;0.1896;;;;;;;;;;
96;0.1909 A DC;35:26.1;00:04.4;35:26.8;0.1958 A DC;0.1834 A DC;35:27.3;0.1778 A DC;Interval;35:30.6;;;324.8999998;0.1834;2.27416;0.000126342;0.1896;;;;;;;;;;
97;0.1823 A DC;35:30.6;00:00.6;35:31.1;0.2020 A DC;0.1866 A DC;35:30.6;0.1823 A DC;Stable;35:31.2;;;329.3999999;0.1866;2.31384;0.0028923;0.1896;;;;;;;;;;
98;0.1830 A DC;35:31.2;00:04.9;35:34.9;0.1920 A DC;0.1836 A DC;35:33.6;0.1791 A DC;Stable;35:36.1;;;329.9999998;0.1836;2.27664;0.00037944;0.1896;;;;;;;;;;
99;0.6386 A DC;35:36.1;00:00.2;35:36.1;0.6386 A DC;0.4190 A DC;35:36.2;0.1994 A DC;Stable;35:36.3;;;334.8999996;0.419;5.1956;0.007071789;0.1896;;;;;;;;;;
100;0.1793 A DC;35:36.3;00:01.9;35:36.8;0.1918 A DC;0.1848 A DC;35:37.4;0.1785 A DC;Stable;35:38.2;;;335.0999998;0.1848;2.29152;0.000127307;0.1896;;;;;;;;;;
101;0.2019 A DC;35:38.2;00:02.5;35:38.2;0.2019 A DC;0.1824 A DC;35:38.4;0.1780 A DC;Interval;35:40.7;;;336.9999996;0.1824;2.26176;0.001193707;0.1896;;;;;;;;;;
102;0.1824 A DC;35:40.7;00:05.4;35:45.9;0.1906 A DC;0.1838 A DC;35:41.1;0.1799 A DC;Stable;35:46.2;;;339.4999998;0.1838;2.27912;0.001582722;0.1896;;;;;;;;;;
103;0.2131 A DC;35:46.2;00:00.4;35:46.2;0.2131 A DC;0.1971 A DC;35:46.5;0.1887 A DC;Stable;35:46.6;;;344.9999996;0.1971;2.44404;0.00373395;0.1896;;;;;;;;;;
104;0.1818 A DC;35:46.6;00:04.0;35:48.1;0.1899 A DC;0.1834 A DC;35:49.7;0.1781 A DC;Interval;35:50.6;;;345.3999999;0.1834;2.27416;0.000252685;0.1896;;;;;;;;;;
105;0.1817 A DC;35:50.6;00:00.8;35:51.3;0.4211 A DC;0.2148 A DC;35:51.0;0.1812 A DC;Stable;35:51.4;;;349.3999996;0.2148;2.66352;0.002959466;0.1896;;;;;;;;;;
106;0.1887 A DC;35:51.4;00:04.9;35:51.4;0.1887 A DC;0.1828 A DC;35:56.0;0.1808 A DC;Stable;35:56.3;;;350.1999996;0.1828;2.26672;0.000503716;0.1896;;;;;;;;;;
107;0.2271 A DC;35:56.3;00:00.1;35:56.3;0.2271 A DC;0.2271 A DC;35:56.3;0.2271 A DC;Stable;35:56.4;;;355.1000001;0.2271;2.81604;0.003832944;0.1896;;;;;;;;;;
108;0.1837 A DC;35:56.4;00:04.1;35:57.8;0.1921 A DC;0.1843 A DC;36:00.4;0.1786 A DC;Interval;36:00.5;;;355.1999995;0.1843;2.28532;6.34808E-05;0.1896;;;;;;;;;;
109;0.1819 A DC;36:00.5;00:01.0;36:01.4;0.6924 A DC;0.2509 A DC;36:00.5;0.1819 A DC;Stable;36:01.6;;;359.2999999;0.2509;3.11116;0.003543266;0.1896;;;;;;;;;;
110;0.1817 A DC;36:01.6;00:09.1;36:08.8;0.1918 A DC;0.1828 A DC;36:07.7;0.1785 A DC;Interval;36:10.6;;;360.3999996;0.1828;2.26672;0.000692609;0.1896;;;;;;;;;;
111;0.1893 A DC;36:10.6;00:01.1;36:11.5;0.8179 A DC;0.2526 A DC;36:11.3;0.1817 A DC;Stable;36:11.7;;;369.3999999;0.2526;3.13224;0.0078306;0.1896;;;;;;;;;;
112;0.1913 A DC;36:11.7;00:08.9;36:11.8;0.1932 A DC;0.1826 A DC;36:12.5;0.1780 A DC;Interval;36:20.6;;;370.4999995;0.1826;2.26424;0.000691851;0.1896;;;;;;;;;;
113;0.1883 A DC;36:20.6;00:01.1;36:20.9;0.1898 A DC;0.1843 A DC;36:21.5;0.1781 A DC;Stable;36:21.7;;;379.3999997;0.1843;2.28532;0.005649819;0.1896;;;;;;;;;;
114;0.9514 A DC;36:21.7;00:00.2;36:21.7;0.9514 A DC;0.5947 A DC;36:21.8;0.2379 A DC;Stable;36:21.9;;;380.5;0.5947;7.37428;0.002253253;0.1896;;;;;;;;;;
115;0.1804 A DC;36:21.9;00:08.7;36:29.9;0.1921 A DC;0.1828 A DC;36:24.3;0.1774 A DC;Interval;36:30.5;;;380.6999995;0.1828;2.26672;0.000125929;0.1896;;;;;;;;;;
116;0.1857 A DC;36:30.5;00:01.3;36:30.5;0.1857 A DC;0.1800 A DC;36:31.6;0.1773 A DC;Stable;36:31.8;;;389.3;0.18;2.232;0.005332;0.1896;;;;;;;;;;
117;0.6476 A DC;36:31.8;00:00.2;36:31.8;0.6476 A DC;0.4223 A DC;36:31.9;0.1970 A DC;Stable;36:32.0;;;390.5999999;0.4223;5.23652;0.001890965;0.1896;;;;;;;;;;
118;0.1778 A DC;36:32.0;00:08.5;36:33.9;0.1923 A DC;0.1816 A DC;36:36.3;0.1768 A DC;Interval;36:40.6;;;390.8000001;0.1816;2.25184;0.000125102;0.1896;;;;;;;;;;
119;0.1780 A DC;36:40.6;00:01.3;36:40.9;0.1918 A DC;0.1833 A DC;36:41.4;0.1770 A DC;Stable;36:41.9;;;399.3999999;0.1833;2.27292;0.005429753;0.1896;;;;;;;;;;
120;0.2770 A DC;36:41.9;00:00.2;36:42.0;0.3985 A DC;0.3377 A DC;36:41.9;0.2770 A DC;Stable;36:42.1;;;400.6999998;0.3377;4.18748;0.001512145;0.1896;;;;;;;;;;
